Llave no. 0 (0,1) Inverso: 1 
Llave no. 1433 (19,87) Inverso: 83 
Llave no. 1434 (19,88) Inverso: 27 
Llave no. 1435 (19,89) Inverso: 79 
Llave no. 1436 (19,91) Inverso: 71 
Llave no. 1437 (19,92) Inverso: 63 
Llave no. 1438 (19,93) Inverso: 47 
Llave no. 1439 (19,94) Inverso: 94 
Llave no. 1440 (20,1) Inverso: 1 
Llave no. 1441 (20,2) Inverso: 48 
Llave no. 1442 (20,3) Inverso: 32 
Llave no. 1443 (20,4) Inverso: 24 
Llave no. 1444 (20,6) Inverso: 16 
Llave no. 1445 (20,7) Inverso: 68 
Llave no. 1446 (20,8) Inverso: 12 
Llave no. 1447 (20,9) Inverso: 74 
Llave no. 1448 (20,11) Inverso: 26 
Llave no. 1449 (20,12) Inverso: 8 
Llave no. 1450 (20,13) Inverso: 22 
Llave no. 1451 (20,14) Inverso: 34 
Llave no. 1452 (20,16) Inverso: 6 
Llave no. 1453 (20,17) Inverso: 28 
Llave no. 1454 (20,18) Inverso: 37 
Llave no. 1455 (20,21) Inverso: 86 
Llave no. 1456 (20,22) Inverso: 13 
Llave no. 1457 (20,23) Inverso: 62 
Llave no. 1458 (20,24) Inverso: 4 
Llave no. 1459 (20,26) Inverso: 11 
Llave no. 1460 (20,27) Inverso: 88 
Llave no. 1461 (20,28) Inverso: 17 
Llave no. 1462 (20,29) Inverso: 59 
Llave no. 1463 (20,31) Inverso: 46 
Llave no. 1464 (20,32) Inverso: 3 
Llave no. 1465 (20,33) Inverso: 72 
Llave no. 1466 (20,34) Inverso: 14 
Llave no. 1467 (20,36) Inverso: 66 
Llave no. 1468 (20,37) Inverso: 18 
Llave no. 1469 (20,39) Inverso: 39 
Llave no. 1470 (20,41) Inverso: 51 
Llave no. 1471 (20,42) Inverso: 43 
Llave no. 1472 (20,43) Inverso: 42 
Llave no. 1473 (20,44) Inverso: 54 
Llave no. 1474 (20,46) Inverso: 31 
Llave no. 1475 (20,47) Inverso: 93 
Llave no. 1476 (20,48) Inverso: 2 
Llave no. 1477 (20,49) Inverso: 64 
Llave no. 1478 (20,51) Inverso: 41 
Llave no. 1479 (20,52) Inverso: 53 
Llave no. 1480 (20,53) Inverso: 52 
Llave no. 1481 (20,54) Inverso: 44 
Llave no. 1482 (20,56) Inverso: 56 
Llave no. 1483 (20,58) Inverso: 77 
Llave no. 1484 (20,59) Inverso: 29 
Llave no. 1485 (20,61) Inverso: 81 
Llave no. 1486 (20,62) Inverso: 23 
Llave no. 1487 (20,63) Inverso: 92 
Llave no. 1488 (20,64) Inverso: 49 
Llave no. 1489 (20,66) Inverso: 36 
Llave no. 1490 (20,67) Inverso: 78 
Llave no. 1491 (20,68) Inverso: 7 
Llave no. 1492 (20,69) Inverso: 84 
Llave no. 1493 (20,71) Inverso: 91 
Llave no. 1494 (20,72) Inverso: 33 
Llave no. 1495 (20,73) Inverso: 82 
Llave no. 1496 (20,74) Inverso: 9 
Llave no. 1497 (20,77) Inverso: 58 
Llave no. 1498 (20,78) Inverso: 67 
Llave no. 1499 (20,79) Inverso: 89 
Llave no. 1500 (20,81) Inverso: 61 
Llave no. 1501 (20,82) Inverso: 73 
Llave no. 1502 (20,83) Inverso: 87 
Llave no. 1503 (20,84) Inverso: 69 
Llave no. 1504 (20,86) Inverso: 21 
Llave no. 1505 (20,87) Inverso: 83 
Llave no. 1506 (20,88) Inverso: 27 
Llave no. 1507 (20,89) Inverso: 79 
Llave no. 1508 (20,91) Inverso: 71 
Llave no. 1509 (20,92) Inverso: 63 
Llave no. 1510 (20,93) Inverso: 47 
Llave no. 1511 (20,94) Inverso: 94 
Llave no. 1512 (21,1) Inverso: 1 
Llave no. 1513 (21,2) Inverso: 48 
Llave no. 1514 (21,3) Inverso: 32 
Llave no. 1515 (21,4) Inverso: 24 
Llave no. 1516 (21,6) Inverso: 16 
Llave no. 1517 (21,7) Inverso: 68 
Llave no. 1518 (21,8) Inverso: 12 
Llave no. 1519 (21,9) Inverso: 74 
Llave no. 1520 (21,11) Inverso: 26 
Llave no. 1521 (21,12) Inverso: 8 
Llave no. 1522 (21,13) Inverso: 22 
Llave no. 1523 (21,14) Inverso: 34 
Llave no. 1524 (21,16) Inverso: 6 
Llave no. 1525 (21,17) Inverso: 28 
Llave no. 1526 (21,18) Inverso: 37 
Llave no. 1527 (21,21) Inverso: 86 
Llave no. 1528 (21,22) Inverso: 13 
Llave no. 1529 (21,23) Inverso: 62 
Llave no. 1530 (21,24) Inverso: 4 
Llave no. 1531 (21,26) Inverso: 11 
Llave no. 1532 (21,27) Inverso: 88 
Llave no. 1533 (21,28) Inverso: 17 
Llave no. 1534 (21,29) Inverso: 59 
Llave no. 1535 (21,31) Inverso: 46 
Llave no. 1536 (21,32) Inverso: 3 
Llave no. 1537 (21,33) Inverso: 72 
Llave no. 1538 (21,34) Inverso: 14 
Llave no. 1539 (21,36) Inverso: 66 
Llave no. 1540 (21,37) Inverso: 18 
Llave no. 1541 (21,39) Inverso: 39 
Llave no. 1542 (21,41) Inverso: 51 
Llave no. 1543 (21,42) Inverso: 43 
Llave no. 1544 (21,43) Inverso: 42 
Llave no. 1545 (21,44) Inverso: 54 
Llave no. 1546 (21,46) Inverso: 31 
Llave no. 1547 (21,47) Inverso: 93 
Llave no. 1548 (21,48) Inverso: 2 
Llave no. 1549 (21,49) Inverso: 64 
Llave no. 1550 (21,51) Inverso: 41 
Llave no. 1551 (21,52) Inverso: 53 
Llave no. 1552 (21,53) Inverso: 52 
Llave no. 1553 (21,54) Inverso: 44 
Llave no. 1554 (21,56) Inverso: 56 
Llave no. 1555 (21,58) Inverso: 77 
Llave no. 1556 (21,59) Inverso: 29 
Llave no. 1557 (21,61) Inverso: 81 
Llave no. 1558 (21,62) Inverso: 23 
Llave no. 1559 (21,63) Inverso: 92 
Llave no. 1560 (21,64) Inverso: 49 
Llave no. 1561 (21,66) Inverso: 36 
Llave no. 1562 (21,67) Inverso: 78 
Llave no. 1563 (21,68) Inverso: 7 
Llave no. 1564 (21,69) Inverso: 84 
Llave no. 1565 (21,71) Inverso: 91 
Llave no. 1566 (21,72) Inverso: 33 
Llave no. 1567 (21,73) Inverso: 82 
Llave no. 1568 (21,74) Inverso: 9 
Llave no. 1569 (21,77) Inverso: 58 
Llave no. 1570 (21,78) Inverso: 67 
Llave no. 1571 (21,79) Inverso: 89 
Llave no. 1572 (21,81) Inverso: 61 
Llave no. 1573 (21,82) Inverso: 73 
Llave no. 1574 (21,83) Inverso: 87 
Llave no. 1575 (21,84) Inverso: 69 
Llave no. 1576 (21,86) Inverso: 21 
Llave no. 1577 (21,87) Inverso: 83 
Llave no. 1578 (21,88) Inverso: 27 
Llave no. 1579 (21,89) Inverso: 79 
Llave no. 1580 (21,91) Inverso: 71 
Llave no. 1581 (21,92) Inverso: 63 
Llave no. 1582 (21,93) Inverso: 47 
Llave no. 1583 (21,94) Inverso: 94 
Llave no. 1584 (22,1) Inverso: 1 
Llave no. 1585 (22,2) Inverso: 48 
Llave no. 1586 (22,3) Inverso: 32 
Llave no. 1587 (22,4) Inverso: 24 
Llave no. 1588 (22,6) Inverso: 16 
Llave no. 1589 (22,7) Inverso: 68 
Llave no. 1590 (22,8) Inverso: 12 
Llave no. 1591 (22,9) Inverso: 74 
Llave no. 1592 (22,11) Inverso: 26 
Llave no. 1593 (22,12) Inverso: 8 
Llave no. 1594 (22,13) Inverso: 22 
Llave no. 1595 (22,14) Inverso: 34 
Llave no. 1596 (22,16) Inverso: 6 
Llave no. 1597 (22,17) Inverso: 28 
Llave no. 1598 (22,18) Inverso: 37 
Llave no. 1599 (22,21) Inverso: 86 
Llave no. 1600 (22,22) Inverso: 13 
Llave no. 1601 (22,23) Inverso: 62 
Llave no. 1602 (22,24) Inverso: 4 
Llave no. 1603 (22,26) Inverso: 11 
Llave no. 1604 (22,27) Inverso: 88 
Llave no. 1605 (22,28) Inverso: 17 
Llave no. 1606 (22,29) Inverso: 59 
Llave no. 1607 (22,31) Inverso: 46 
Llave no. 1608 (22,32) Inverso: 3 
Llave no. 1609 (22,33) Inverso: 72 
Llave no. 1610 (22,34) Inverso: 14 
Llave no. 1611 (22,36) Inverso: 66 
Llave no. 1612 (22,37) Inverso: 18 
Llave no. 1613 (22,39) Inverso: 39 
Llave no. 1614 (22,41) Inverso: 51 
Llave no. 1615 (22,42) Inverso: 43 
Llave no. 1616 (22,43) Inverso: 42 
Llave no. 1617 (22,44) Inverso: 54 
Llave no. 1618 (22,46) Inverso: 31 
Llave no. 1619 (22,47) Inverso: 93 
Llave no. 1620 (22,48) Inverso: 2 
Llave no. 1621 (22,49) Inverso: 64 
Llave no. 1622 (22,51) Inverso: 41 
Llave no. 1623 (22,52) Inverso: 53 
Llave no. 1624 (22,53) Inverso: 52 
Llave no. 1625 (22,54) Inverso: 44 
Llave no. 1626 (22,56) Inverso: 56 
Llave no. 1627 (22,58) Inverso: 77 
Llave no. 1628 (22,59) Inverso: 29 
Llave no. 1629 (22,61) Inverso: 81 
Llave no. 1630 (22,62) Inverso: 23 
Llave no. 1631 (22,63) Inverso: 92 
Llave no. 1632 (22,64) Inverso: 49 
Llave no. 1633 (22,66) Inverso: 36 
Llave no. 1634 (22,67) Inverso: 78 
Llave no. 1635 (22,68) Inverso: 7 
Llave no. 1636 (22,69) Inverso: 84 
Llave no. 1637 (22,71) Inverso: 91 
Llave no. 1638 (22,72) Inverso: 33 
Llave no. 1639 (22,73) Inverso: 82 
Llave no. 1640 (22,74) Inverso: 9 
Llave no. 1641 (22,77) Inverso: 58 
Llave no. 1642 (22,78) Inverso: 67 
Llave no. 1643 (22,79) Inverso: 89 
Llave no. 1644 (22,81) Inverso: 61 
Llave no. 1645 (22,82) Inverso: 73 
Llave no. 1646 (22,83) Inverso: 87 
Llave no. 1647 (22,84) Inverso: 69 
Llave no. 1648 (22,86) Inverso: 21 
Llave no. 1649 (22,87) Inverso: 83 
Llave no. 1650 (22,88) Inverso: 27 
Llave no. 1651 (22,89) Inverso: 79 
Llave no. 1652 (22,91) Inverso: 71 
Llave no. 1653 (22,92) Inverso: 63 
Llave no. 1654 (22,93) Inverso: 47 
Llave no. 1655 (22,94) Inverso: 94 
Llave no. 1656 (23,1) Inverso: 1 
Llave no. 1657 (23,2) Inverso: 48 
Llave no. 1658 (23,3) Inverso: 32 
Llave no. 1659 (23,4) Inverso: 24 
Llave no. 1660 (23,6) Inverso: 16 
Llave no. 1661 (23,7) Inverso: 68 
Llave no. 1662 (23,8) Inverso: 12 
Llave no. 1663 (23,9) Inverso: 74 
Llave no. 1664 (23,11) Inverso: 26 
Llave no. 1665 (23,12) Inverso: 8 
Llave no. 1666 (23,13) Inverso: 22 
Llave no. 1667 (23,14) Inverso: 34 
Llave no. 1668 (23,16) Inverso: 6 
Llave no. 1669 (23,17) Inverso: 28 
Llave no. 1670 (23,18) Inverso: 37 
Llave no. 1671 (23,21) Inverso: 86 
Llave no. 1672 (23,22) Inverso: 13 
Llave no. 1673 (23,23) Inverso: 62 
Llave no. 1674 (23,24) Inverso: 4 
Llave no. 1675 (23,26) Inverso: 11 
Llave no. 1676 (23,27) Inverso: 88 
Llave no. 1677 (23,28) Inverso: 17 
Llave no. 1678 (23,29) Inverso: 59 
Llave no. 1679 (23,31) Inverso: 46 
Llave no. 1680 (23,32) Inverso: 3 
Llave no. 1681 (23,33) Inverso: 72 
Llave no. 1682 (23,34) Inverso: 14 
Llave no. 1683 (23,36) Inverso: 66 
Llave no. 1684 (23,37) Inverso: 18 
Llave no. 1685 (23,39) Inverso: 39 
Llave no. 1686 (23,41) Inverso: 51 
Llave no. 1687 (23,42) Inverso: 43 
Llave no. 1688 (23,43) Inverso: 42 
Llave no. 1689 (23,44) Inverso: 54 
Llave no. 1690 (23,46) Inverso: 31 
Llave no. 1691 (23,47) Inverso: 93 
Llave no. 1692 (23,48) Inverso: 2 
Llave no. 1693 (23,49) Inverso: 64 
Llave no. 1694 (23,51) Inverso: 41 
Llave no. 1695 (23,52) Inverso: 53 
Llave no. 1696 (23,53) Inverso: 52 
Llave no. 1697 (23,54) Inverso: 44 
Llave no. 1698 (23,56) Inverso: 56 
Llave no. 1699 (23,58) Inverso: 77 
Llave no. 1700 (23,59) Inverso: 29 
Llave no. 1701 (23,61) Inverso: 81 
Llave no. 1702 (23,62) Inverso: 23 
Llave no. 1703 (23,63) Inverso: 92 
Llave no. 1704 (23,64) Inverso: 49 
Llave no. 1705 (23,66) Inverso: 36 
Llave no. 1706 (23,67) Inverso: 78 
Llave no. 1707 (23,68) Inverso: 7 
Llave no. 1708 (23,69) Inverso: 84 
Llave no. 1709 (23,71) Inverso: 91 
Llave no. 1710 (23,72) Inverso: 33 
Llave no. 1711 (23,73) Inverso: 82 
Llave no. 1712 (23,74) Inverso: 9 
Llave no. 1713 (23,77) Inverso: 58 
Llave no. 1714 (23,78) Inverso: 67 
Llave no. 1715 (23,79) Inverso: 89 
Llave no. 1716 (23,81) Inverso: 61 
Llave no. 1717 (23,82) Inverso: 73 
Llave no. 1718 (23,83) Inverso: 87 
Llave no. 1719 (23,84) Inverso: 69 
Llave no. 1720 (23,86) Inverso: 21 
Llave no. 1721 (23,87) Inverso: 83 
Llave no. 1722 (23,88) Inverso: 27 
Llave no. 1723 (23,89) Inverso: 79 
Llave no. 1724 (23,91) Inverso: 71 
Llave no. 1725 (23,92) Inverso: 63 
Llave no. 1726 (23,93) Inverso: 47 
Llave no. 1727 (23,94) Inverso: 94 
Llave no. 1728 (24,1) Inverso: 1 
Llave no. 1729 (24,2) Inverso: 48 
Llave no. 1730 (24,3) Inverso: 32 
Llave no. 1731 (24,4) Inverso: 24 
Llave no. 1732 (24,6) Inverso: 16 
Llave no. 1733 (24,7) Inverso: 68 
Llave no. 1734 (24,8) Inverso: 12 
Llave no. 1735 (24,9) Inverso: 74 
Llave no. 1736 (24,11) Inverso: 26 
Llave no. 1737 (24,12) Inverso: 8 
Llave no. 1738 (24,13) Inverso: 22 
Llave no. 1739 (24,14) Inverso: 34 
Llave no. 1740 (24,16) Inverso: 6 
Llave no. 1741 (24,17) Inverso: 28 
Llave no. 1742 (24,18) Inverso: 37 
Llave no. 1743 (24,21) Inverso: 86 
Llave no. 1744 (24,22) Inverso: 13 
Llave no. 1745 (24,23) Inverso: 62 
Llave no. 1746 (24,24) Inverso: 4 
Llave no. 1747 (24,26) Inverso: 11 
Llave no. 1748 (24,27) Inverso: 88 
Llave no. 1749 (24,28) Inverso: 17 
Llave no. 1750 (24,29) Inverso: 59 
Llave no. 1751 (24,31) Inverso: 46 
Llave no. 1752 (24,32) Inverso: 3 
Llave no. 1753 (24,33) Inverso: 72 
Llave no. 1754 (24,34) Inverso: 14 
Llave no. 1755 (24,36) Inverso: 66 
Llave no. 1756 (24,37) Inverso: 18 
Llave no. 1757 (24,39) Inverso: 39 
Llave no. 1758 (24,41) Inverso: 51 
Llave no. 1759 (24,42) Inverso: 43 
Llave no. 1760 (24,43) Inverso: 42 
Llave no. 1761 (24,44) Inverso: 54 
Llave no. 1762 (24,46) Inverso: 31 
Llave no. 1763 (24,47) Inverso: 93 
Llave no. 1764 (24,48) Inverso: 2 
Llave no. 1765 (24,49) Inverso: 64 
Llave no. 1766 (24,51) Inverso: 41 
Llave no. 1767 (24,52) Inverso: 53 
Llave no. 1768 (24,53) Inverso: 52 
Llave no. 1769 (24,54) Inverso: 44 
Llave no. 1770 (24,56) Inverso: 56 
Llave no. 1771 (24,58) Inverso: 77 
Llave no. 1772 (24,59) Inverso: 29 
Llave no. 1773 (24,61) Inverso: 81 
Llave no. 1774 (24,62) Inverso: 23 
Llave no. 1775 (24,63) Inverso: 92 
Llave no. 1776 (24,64) Inverso: 49 
Llave no. 1777 (24,66) Inverso: 36 
Llave no. 1778 (24,67) Inverso: 78 
Llave no. 1779 (24,68) Inverso: 7 
Llave no. 1780 (24,69) Inverso: 84 
Llave no. 1781 (24,71) Inverso: 91 
Llave no. 1782 (24,72) Inverso: 33 
Llave no. 1783 (24,73) Inverso: 82 
Llave no. 1784 (24,74) Inverso: 9 
Llave no. 1785 (24,77) Inverso: 58 
Llave no. 1786 (24,78) Inverso: 67 
Llave no. 1787 (24,79) Inverso: 89 
Llave no. 1788 (24,81) Inverso: 61 
Llave no. 1789 (24,82) Inverso: 73 
Llave no. 1790 (24,83) Inverso: 87 
Llave no. 1791 (24,84) Inverso: 69 
Llave no. 1792 (24,86) Inverso: 21 
Llave no. 1793 (24,87) Inverso: 83 
Llave no. 1794 (24,88) Inverso: 27 
Llave no. 1795 (24,89) Inverso: 79 
Llave no. 1796 (24,91) Inverso: 71 
Llave no. 1797 (24,92) Inverso: 63 
Llave no. 1798 (24,93) Inverso: 47 
Llave no. 1799 (24,94) Inverso: 94 
Llave no. 1800 (25,1) Inverso: 1 
Llave no. 1801 (25,2) Inverso: 48 
Llave no. 1802 (25,3) Inverso: 32 
Llave no. 1803 (25,4) Inverso: 24 
Llave no. 1804 (25,6) Inverso: 16 
Llave no. 1805 (25,7) Inverso: 68 
Llave no. 1806 (25,8) Inverso: 12 
Llave no. 1807 (25,9) Inverso: 74 
Llave no. 1808 (25,11) Inverso: 26 
Llave no. 1809 (25,12) Inverso: 8 
Llave no. 1810 (25,13) Inverso: 22 
Llave no. 1811 (25,14) Inverso: 34 
Llave no. 1812 (25,16) Inverso: 6 
Llave no. 1813 (25,17) Inverso: 28 
Llave no. 1814 (25,18) Inverso: 37 
Llave no. 1815 (25,21) Inverso: 86 
Llave no. 1816 (25,22) Inverso: 13 
Llave no. 1817 (25,23) Inverso: 62 
Llave no. 1818 (25,24) Inverso: 4 
Llave no. 1819 (25,26) Inverso: 11 
Llave no. 1820 (25,27) Inverso: 88 
Llave no. 1821 (25,28) Inverso: 17 
Llave no. 1822 (25,29) Inverso: 59 
Llave no. 1823 (25,31) Inverso: 46 
Llave no. 1824 (25,32) Inverso: 3 
Llave no. 1825 (25,33) Inverso: 72 
Llave no. 1826 (25,34) Inverso: 14 
Llave no. 1827 (25,36) Inverso: 66 
Llave no. 1828 (25,37) Inverso: 18 
Llave no. 1829 (25,39) Inverso: 39 
Llave no. 1830 (25,41) Inverso: 51 
Llave no. 1831 (25,42) Inverso: 43 
Llave no. 1832 (25,43) Inverso: 42 
Llave no. 1833 (25,44) Inverso: 54 
Llave no. 1834 (25,46) Inverso: 31 
Llave no. 1835 (25,47) Inverso: 93 
Llave no. 1836 (25,48) Inverso: 2 
Llave no. 1837 (25,49) Inverso: 64 
Llave no. 1838 (25,51) Inverso: 41 
Llave no. 1839 (25,52) Inverso: 53 
Llave no. 1840 (25,53) Inverso: 52 
Llave no. 1841 (25,54) Inverso: 44 
Llave no. 1842 (25,56) Inverso: 56 
Llave no. 1843 (25,58) Inverso: 77 
Llave no. 1844 (25,59) Inverso: 29 
Llave no. 1845 (25,61) Inverso: 81 
Llave no. 1846 (25,62) Inverso: 23 
Llave no. 1847 (25,63) Inverso: 92 
Llave no. 1848 (25,64) Inverso: 49 
Llave no. 1849 (25,66) Inverso: 36 
Llave no. 1850 (25,67) Inverso: 78 
Llave no. 1851 (25,68) Inverso: 7 
Llave no. 1852 (25,69) Inverso: 84 
Llave no. 1853 (25,71) Inverso: 91 
Llave no. 1854 (25,72) Inverso: 33 
Llave no. 1855 (25,73) Inverso: 82 
Llave no. 1856 (25,74) Inverso: 9 
Llave no. 1857 (25,77) Inverso: 58 
Llave no. 1858 (25,78) Inverso: 67 
Llave no. 1859 (25,79) Inverso: 89 
Llave no. 1860 (25,81) Inverso: 61 
Llave no. 1861 (25,82) Inverso: 73 
Llave no. 1862 (25,83) Inverso: 87 
Llave no. 1863 (25,84) Inverso: 69 
Llave no. 1864 (25,86) Inverso: 21 
Llave no. 1865 (25,87) Inverso: 83 
Llave no. 1866 (25,88) Inverso: 27 
Llave no. 1867 (25,89) Inverso: 79 
Llave no. 1868 (25,91) Inverso: 71 
Llave no. 1869 (25,92) Inverso: 63 
Llave no. 1870 (25,93) Inverso: 47 
Llave no. 1871 (25,94) Inverso: 94 
Llave no. 1872 (26,1) Inverso: 1 
Llave no. 1873 (26,2) Inverso: 48 
Llave no. 1874 (26,3) Inverso: 32 
Llave no. 1875 (26,4) Inverso: 24 
Llave no. 1876 (26,6) Inverso: 16 
Llave no. 1877 (26,7) Inverso: 68 
Llave no. 1878 (26,8) Inverso: 12 
Llave no. 1879 (26,9) Inverso: 74 
Llave no. 1880 (26,11) Inverso: 26 
Llave no. 1881 (26,12) Inverso: 8 
Llave no. 1882 (26,13) Inverso: 22 
Llave no. 1883 (26,14) Inverso: 34 
Llave no. 1884 (26,16) Inverso: 6 
Llave no. 1885 (26,17) Inverso: 28 
Llave no. 1886 (26,18) Inverso: 37 
Llave no. 1887 (26,21) Inverso: 86 
Llave no. 1888 (26,22) Inverso: 13 
Llave no. 1889 (26,23) Inverso: 62 
Llave no. 1890 (26,24) Inverso: 4 
Llave no. 1891 (26,26) Inverso: 11 
Llave no. 1892 (26,27) Inverso: 88 
Llave no. 1893 (26,28) Inverso: 17 
Llave no. 1894 (26,29) Inverso: 59 
Llave no. 1895 (26,31) Inverso: 46 
Llave no. 1896 (26,32) Inverso: 3 
Llave no. 1897 (26,33) Inverso: 72 
Llave no. 1898 (26,34) Inverso: 14 
Llave no. 1899 (26,36) Inverso: 66 
Llave no. 1900 (26,37) Inverso: 18 
Llave no. 1901 (26,39) Inverso: 39 
Llave no. 1902 (26,41) Inverso: 51 
Llave no. 1903 (26,42) Inverso: 43 
Llave no. 1904 (26,43) Inverso: 42 
Llave no. 1905 (26,44) Inverso: 54 
Llave no. 1906 (26,46) Inverso: 31 
Llave no. 1907 (26,47) Inverso: 93 
Llave no. 1908 (26,48) Inverso: 2 
Llave no. 1909 (26,49) Inverso: 64 
Llave no. 1910 (26,51) Inverso: 41 
Llave no. 1911 (26,52) Inverso: 53 
Llave no. 1912 (26,53) Inverso: 52 
Llave no. 1913 (26,54) Inverso: 44 
Llave no. 1914 (26,56) Inverso: 56 
Llave no. 1915 (26,58) Inverso: 77 
Llave no. 1916 (26,59) Inverso: 29 
Llave no. 1917 (26,61) Inverso: 81 
Llave no. 1918 (26,62) Inverso: 23 
Llave no. 1919 (26,63) Inverso: 92 
Llave no. 1920 (26,64) Inverso: 49 
Llave no. 1921 (26,66) Inverso: 36 
Llave no. 1922 (26,67) Inverso: 78 
Llave no. 1923 (26,68) Inverso: 7 
Llave no. 1924 (26,69) Inverso: 84 
Llave no. 1925 (26,71) Inverso: 91 
Llave no. 1926 (26,72) Inverso: 33 
Llave no. 1927 (26,73) Inverso: 82 
Llave no. 1928 (26,74) Inverso: 9 
Llave no. 1929 (26,77) Inverso: 58 
Llave no. 1930 (26,78) Inverso: 67 
Llave no. 1931 (26,79) Inverso: 89 
Llave no. 1932 (26,81) Inverso: 61 
Llave no. 1933 (26,82) Inverso: 73 
Llave no. 1934 (26,83) Inverso: 87 
Llave no. 1935 (26,84) Inverso: 69 
Llave no. 1936 (26,86) Inverso: 21 
Llave no. 1937 (26,87) Inverso: 83 
Llave no. 1938 (26,88) Inverso: 27 
Llave no. 1939 (26,89) Inverso: 79 
Llave no. 1940 (26,91) Inverso: 71 
Llave no. 1941 (26,92) Inverso: 63 
Llave no. 1942 (26,93) Inverso: 47 
Llave no. 1943 (26,94) Inverso: 94 
Llave no. 1944 (27,1) Inverso: 1 
Llave no. 1945 (27,2) Inverso: 48 
Llave no. 1946 (27,3) Inverso: 32 
Llave no. 1947 (27,4) Inverso: 24 
Llave no. 1948 (27,6) Inverso: 16 
Llave no. 1949 (27,7) Inverso: 68 
Llave no. 1950 (27,8) Inverso: 12 
Llave no. 1951 (27,9) Inverso: 74 
Llave no. 1952 (27,11) Inverso: 26 
Llave no. 1953 (27,12) Inverso: 8 
Llave no. 1954 (27,13) Inverso: 22 
Llave no. 1955 (27,14) Inverso: 34 
Llave no. 1956 (27,16) Inverso: 6 
Llave no. 1957 (27,17) Inverso: 28 
Llave no. 1958 (27,18) Inverso: 37 
Llave no. 1959 (27,21) Inverso: 86 
Llave no. 1960 (27,22) Inverso: 13 
Llave no. 1961 (27,23) Inverso: 62 
Llave no. 1962 (27,24) Inverso: 4 
Llave no. 1963 (27,26) Inverso: 11 
Llave no. 1964 (27,27) Inverso: 88 
Llave no. 1965 (27,28) Inverso: 17 
Llave no. 1966 (27,29) Inverso: 59 
Llave no. 1967 (27,31) Inverso: 46 
Llave no. 1968 (27,32) Inverso: 3 
Llave no. 1969 (27,33) Inverso: 72 
Llave no. 1970 (27,34) Inverso: 14 
Llave no. 1971 (27,36) Inverso: 66 
Llave no. 1972 (27,37) Inverso: 18 
Llave no. 1973 (27,39) Inverso: 39 
Llave no. 1974 (27,41) Inverso: 51 
Llave no. 1975 (27,42) Inverso: 43 
Llave no. 1976 (27,43) Inverso: 42 
Llave no. 1977 (27,44) Inverso: 54 
Llave no. 1978 (27,46) Inverso: 31 
Llave no. 1979 (27,47) Inverso: 93 
Llave no. 1980 (27,48) Inverso: 2 
Llave no. 1981 (27,49) Inverso: 64 
Llave no. 1982 (27,51) Inverso: 41 
Llave no. 1983 (27,52) Inverso: 53 
Llave no. 1984 (27,53) Inverso: 52 
Llave no. 1985 (27,54) Inverso: 44 
Llave no. 1986 (27,56) Inverso: 56 
Llave no. 1987 (27,58) Inverso: 77 
Llave no. 1988 (27,59) Inverso: 29 
Llave no. 1989 (27,61) Inverso: 81 
Llave no. 1990 (27,62) Inverso: 23 
Llave no. 1991 (27,63) Inverso: 92 
Llave no. 1992 (27,64) Inverso: 49 
Llave no. 1993 (27,66) Inverso: 36 
Llave no. 1994 (27,67) Inverso: 78 
Llave no. 1995 (27,68) Inverso: 7 
Llave no. 1996 (27,69) Inverso: 84 
Llave no. 1997 (27,71) Inverso: 91 
Llave no. 1998 (27,72) Inverso: 33 
Llave no. 1999 (27,73) Inverso: 82 
Llave no. 2000 (27,74) Inverso: 9 
Llave no. 2001 (27,77) Inverso: 58 
Llave no. 2002 (27,78) Inverso: 67 
Llave no. 2003 (27,79) Inverso: 89 
Llave no. 2004 (27,81) Inverso: 61 
Llave no. 2005 (27,82) Inverso: 73 
Llave no. 2006 (27,83) Inverso: 87 
Llave no. 2007 (27,84) Inverso: 69 
Llave no. 2008 (27,86) Inverso: 21 
Llave no. 2009 (27,87) Inverso: 83 
Llave no. 2010 (27,88) Inverso: 27 
Llave no. 2011 (27,89) Inverso: 79 
Llave no. 2012 (27,91) Inverso: 71 
Llave no. 2013 (27,92) Inverso: 63 
Llave no. 2014 (27,93) Inverso: 47 
Llave no. 2015 (27,94) Inverso: 94 
Llave no. 2016 (28,1) Inverso: 1 
Llave no. 2017 (28,2) Inverso: 48 
Llave no. 2018 (28,3) Inverso: 32 
Llave no. 2019 (28,4) Inverso: 24 
Llave no. 2020 (28,6) Inverso: 16 
Llave no. 2021 (28,7) Inverso: 68 
Llave no. 2022 (28,8) Inverso: 12 
Llave no. 2023 (28,9) Inverso: 74 
Llave no. 2024 (28,11) Inverso: 26 
Llave no. 2025 (28,12) Inverso: 8 
Llave no. 2026 (28,13) Inverso: 22 
Llave no. 2027 (28,14) Inverso: 34 
Llave no. 2028 (28,16) Inverso: 6 
Llave no. 2029 (28,17) Inverso: 28 
Llave no. 2030 (28,18) Inverso: 37 
Llave no. 2031 (28,21) Inverso: 86 
Llave no. 2032 (28,22) Inverso: 13 
Llave no. 2033 (28,23) Inverso: 62 
Llave no. 2034 (28,24) Inverso: 4 
Llave no. 2035 (28,26) Inverso: 11 
Llave no. 2036 (28,27) Inverso: 88 
Llave no. 2037 (28,28) Inverso: 17 
Llave no. 2038 (28,29) Inverso: 59 
Llave no. 2039 (28,31) Inverso: 46 
